Manufacturer PN	Manfacturer Name	Description	Digi-Key Part No.	Mouser PN	Newark PN	Price
LMK105BJ104KV-F	Taiyo Yuden	CAP CER 0.1UF 10V 10% X5R 0402	587-1227-1-ND			0.10
0010321021	Molex Inc	CONN HEADER 2POS 5.08MM VERT TIN	0010321021-ND			1.10
LH R974-LP-1	OSRAM Opto Semiconductors Inc	LED CHIPLED 645NM RED DIFF 0805	475-1415-2-ND			0.09
SML-211DTT86	Rohm Semiconductor	LED 611NM ORN WTR CLR 0805 SMD	511-1291-1-ND			0.57
61729-0010BLF	FCI	CONN RCPT USB TYPE B R/A PCB	609-1039-ND			0.91
WSL2010R1100FEA	Vishay Dale	RES .11 OHM 1/2W 1% 2010 SMD	WSLE-.11CT-ND			1.07
C1005Y5V1C224Z	TDK Corporation	CAP CER 0.22UF 16V Y5V 0402	445-3444-1-ND			0.10
RC0402JR-071KL	Yageo	RES 1.0K OHM 1/16W 5% 0402 SMD	311-1.0KJRCT-ND			0.10
1623131-1	TE Connectivity	RES 1.00K OHM 1/8W 1% 0805	A106056CT-ND			0.10
RC0402FR-072K49L	Yageo	RES 2.49K OHM 1/16W 1% 0402 SMD	311-2.49KLRCT-ND			0.10
TC33X-2-103E	Bourns Inc	TRIMMER 10K OHM 0.1W SMD	TC33X-103ECT-ND			0.25
RC0805JR-0710KL	Yageo	RES 10K OHM 1/8W 5% 0805 SMD	311-10KARCT-ND			0.10
ABLS-16.000MHZ-B4-T	Abracon Corporation	CRYSTAL 16.000 MHZ 18PF SMD	535-10226-1-ND			0.41
RR0510P-203-D	Susumu	RES 20.0K OHM 1/16W .5% 0402 SMD	RR05P20.0KDCT-ND			0.08
CC0805ZRY5V9BB104	Kemet	CAP CER 0.1UF 50V Y5V 0805	311-1361-1-ND			0.031
C0805C220J5GACTU	Kemet	CAP CER 22PF 50V 5% NP0 0805	399-1113-1-ND			0.07
EEE-FP1V470AP	Panasonic Electronic Components	CAP ALUM 47UF 35V 20% SMD	PCE4552CT-ND			0.70
RR0510P-241-D	Susumu	RES 240 OHM 1/16W .5% 0402 SMD	RR05P240DCT-ND			0.08
RR0510P-331-D	Susumu	RES 330 OHM 1/16W .5% 0402 SMD	RR05P330DCT-ND			0.08
RR0510P-391-D	Susumu	RES 390 OHM 1/16W .5% 0402 SMD	RR05P390DCT-ND			0.08
MINISMDC050F-2	TE Connectivity	POLYSWITCH .50A RESET FUSE SMD	MINISMDC050FCT-ND			0.31
A4983SETTR-T	Allegro Microsystems Inc	IC MOTOR DRIVER MICROSTEP 28-QFN	620-1194-1-ND			4.09
ATMEGA256RZBV-8AU	Atmel	MCU ATMEGA2560/AT86RF230 100TQFP	ATMEGA256RZBV-8AU-ND			11.06
B340A-13-F	Diodes Inc	DIODE SCHOTTKY 3A 40V SMA	B340A-FDICT-ND			0.47
FT232RL-REEL	FTDI, Future Technology Devices International Ltd	IC USB FS SERIAL UART 28-SSOP	768-1007-1-ND			4.50
LM317LCPK	Texas Instruments	IC REG LDO ADJ 0.1A SOT89-3	296-26093-1-ND			0.73
